# Wavefunction for Coulomb; State=0, Dim=20
# r      Approx.      Exact
0.050000 0.084758 0.095123
0.100000 0.167420 0.180967
0.150000 0.246064 0.258212
0.200000 0.319087 0.327492
0.250000 0.385322 0.389400
0.300000 0.444091 0.444491
0.350000 0.495214 0.493282
0.400000 0.538954 0.536256
0.450000 0.575923 0.573865
0.500000 0.606960 0.606531
0.550000 0.633000 0.634645
0.600000 0.654946 0.658574
0.650000 0.673574 0.678660
0.700000 0.689469 0.695219
0.750000 0.703000 0.708550
0.800000 0.714335 0.718926
0.850000 0.723488 0.726605
0.900000 0.730381 0.731825
0.950000 0.734915 0.734808
1.000000 0.737032 0.735759
1.050000 0.736761 0.734869
1.100000 0.734239 0.732316
1.150000 0.729706 0.728265
1.200000 0.723486 0.722866
1.250000 0.715939 0.716262
1.300000 0.707421 0.708583
1.350000 0.698239 0.699949
1.400000 0.688618 0.690471
1.450000 0.678688 0.680254
1.500000 0.668482 0.669390
1.550000 0.657957 0.657969
1.600000 0.647027 0.646069
1.650000 0.635590 0.633765
1.700000 0.623572 0.621124
1.750000 0.610944 0.608209
1.800000 0.597742 0.595076
1.850000 0.584066 0.581778
1.900000 0.570066 0.568361
1.950000 0.555920 0.554869
2.000000 0.541808 0.541341
2.050000 0.527884 0.527813
2.100000 0.514256 0.514317
2.150000 0.500975 0.500882
2.200000 0.488031 0.487534
2.250000 0.475368 0.474297
2.300000 0.462896 0.461191
2.350000 0.450517 0.448235
2.400000 0.438146 0.435446
2.450000 0.425728 0.422839
2.500000 0.413253 0.410425
2.550000 0.400755 0.398216
2.600000 0.388309 0.386223
2.650000 0.376011 0.374451
2.700000 0.363970 0.362910
2.750000 0.352282 0.351603
2.800000 0.341015 0.340536
2.850000 0.330204 0.329713
2.900000 0.319839 0.319135
2.950000 0.309875 0.308804
3.000000 0.300240 0.298722
3.050000 0.290848 0.288889
3.100000 0.281619 0.279305
3.150000 0.272487 0.269968
3.200000 0.263417 0.260878
3.250000 0.254405 0.252032
3.300000 0.245480 0.243429
3.350000 0.236697 0.235065
3.400000 0.228125 0.226938
3.450000 0.219834 0.219045
3.500000 0.211885 0.211382
3.550000 0.204315 0.203945
3.600000 0.197136 0.196731
3.650000 0.190326 0.189735
3.700000 0.183844 0.182954
3.750000 0.177626 0.176383
3.800000 0.171602 0.170018
3.850000 0.165708 0.163854
3.900000 0.159890 0.157887
3.950000 0.154118 0.152112
4.000000 0.148386 0.146525
4.050000 0.142713 0.141121
4.100000 0.137134 0.135896
4.150000 0.131700 0.130845
4.200000 0.126465 0.125963
4.250000 0.121473 0.121246
4.300000 0.116759 0.116690
4.350000 0.112335 0.112289
4.400000 0.108193 0.108041
4.450000 0.104304 0.103939
4.500000 0.100625 0.099981
4.550000 0.097104 0.096162
4.600000 0.093686 0.092477
4.650000 0.090323 0.088923
4.700000 0.086979 0.085496
4.750000 0.083638 0.082191
4.800000 0.080297 0.079006
4.850000 0.076976 0.075935
4.900000 0.073704 0.072977
4.950000 0.070520 0.070126
5.000000 0.067464 0.067379
5.050000 0.064573 0.064734
5.100000 0.061873 0.062187
5.150000 0.059376 0.059734
5.200000 0.057079 0.057372
5.250000 0.054965 0.055099
5.300000 0.053003 0.052911
5.350000 0.051156 0.050805
5.400000 0.049382 0.048779
5.450000 0.047642 0.046830
5.500000 0.045903 0.044954
5.550000 0.044142 0.043151
5.600000 0.042350 0.041416
5.650000 0.040530 0.039748
5.700000 0.038696 0.038144
5.750000 0.036873 0.036602
5.800000 0.035090 0.035120
5.850000 0.033377 0.033695
5.900000 0.031764 0.032325
5.950000 0.030274 0.031010
6.000000 0.028919 0.029745
