#  N   trapezoid     Simpsons      Gauss   GSL
#---------------------------------------------
0.477121  -1.683044e+00  -3.472173e+00  -6.319122e+00  -1.575539e+01
4.771213e-01  -1.683044e+00  -3.472173e+00  -6.319122e+00  -1.575539e+01
6.989700e-01  -2.283753e+00  -4.666735e+00  -1.087334e+01  -1.575539e+01
6.989700e-01  -2.283753e+00  -4.666735e+00  -1.087334e+01  -1.575539e+01
6.989700e-01  -2.283753e+00  -4.666735e+00  -1.087334e+01  -1.575539e+01
8.450980e-01  -2.635685e+00  -5.369312e+00  -1.027425e+01  -1.575539e+01
8.450980e-01  -2.635685e+00  -5.369312e+00  -1.027425e+01  -1.575539e+01
9.542425e-01  -2.885474e+00  -5.868440e+00  -1.015781e+01  -1.575539e+01
9.542425e-01  -2.885474e+00  -5.868440e+00  -1.015781e+01  -1.575539e+01
1.041393e+00  -3.079254e+00  -6.255789e+00  -1.016502e+01  -1.575539e+01
1.041393e+00  -3.079254e+00  -6.255789e+00  -1.016502e+01  -1.575539e+01
1.113943e+00  -3.237594e+00  -6.572356e+00  -1.021322e+01  -1.575539e+01
1.176091e+00  -3.371474e+00  -6.840048e+00  -1.027585e+01  -1.575539e+01
1.230449e+00  -3.487449e+00  -7.071954e+00  -1.034268e+01  -1.575539e+01
1.278754e+00  -3.589749e+00  -7.276522e+00  -1.040946e+01  -1.575539e+01
1.322219e+00  -3.681259e+00  -7.459522e+00  -1.028591e+01  -1.575539e+01
1.397940e+00  -3.839616e+00  -7.776207e+00  -1.053367e+01  -1.575539e+01
1.462398e+00  -3.973507e+00  -8.043971e+00  -1.041933e+01  -1.575539e+01
1.518514e+00  -4.089488e+00  -8.275923e+00  -1.029783e+01  -1.575539e+01
1.568202e+00  -4.191792e+00  -8.480522e+00  -1.059994e+01  -1.575539e+01
1.612784e+00  -4.283306e+00  -8.663545e+00  -1.019685e+01  -1.575539e+01
1.672098e+00  -4.404700e+00  -8.906328e+00  -1.034634e+01  -1.575539e+01
1.740363e+00  -4.543971e+00  -9.184865e+00  -8.781072e+00  -1.575539e+01
1.785330e+00  -4.635486e+00  -9.367892e+00  -8.850755e+00  -1.575539e+01
1.851258e+00  -4.769379e+00  -9.635675e+00  -8.962381e+00  -1.575539e+01
1.908485e+00  -4.885362e+00  -9.867640e+00  -9.038964e+00  -1.575539e+01
1.959041e+00  -4.987667e+00  -1.007225e+01  -9.103233e+00  -1.575539e+01
2.021189e+00  -5.113249e+00  -1.032341e+01  -9.148442e+00  -1.575539e+01
2.075547e+00  -5.222946e+00  -1.054280e+01  -9.134787e+00  -1.575539e+01
2.130334e+00  -5.333391e+00  -1.076369e+01  -9.160188e+00  -1.575539e+01
2.190332e+00  -5.454223e+00  -1.100540e+01  -9.195102e+00  -1.575539e+01
2.243038e+00  -5.560280e+00  -1.121743e+01  -9.157300e+00  -1.575539e+01
2.303196e+00  -5.681241e+00  -1.145945e+01  -9.190160e+00  -1.575539e+01
2.359835e+00  -5.795051e+00  -1.168706e+01  -9.130829e+00  -1.575539e+01
2.416641e+00  -5.909128e+00  -1.191535e+01  -9.141743e+00  -1.575539e+01
2.472756e+00  -6.021765e+00  -1.214060e+01  -9.141323e+00  -1.575539e+01
2.530200e+00  -6.137015e+00  -1.237050e+01  -9.128904e+00  -1.575539e+01
2.585461e+00  -6.247844e+00  -1.259372e+01  -9.236755e+00  -1.575539e+01
2.642465e+00  -6.362130e+00  -1.282292e+01  -9.203646e+00  -1.575539e+01
2.699838e+00  -6.477121e+00  -1.305469e+01  -9.140525e+00  -1.575539e+01
