#  N   trapezoid     Simpsons      Gauss      GSL      3-8
#---------------------------------------------------------
0.845098  -2.635685e+00  -5.369312e+00  -1.027425e+01  -1.575539e+01  -5.018559e+00
1.113943e+00  -3.237594e+00  -6.572356e+00  -1.021322e+01  -1.575539e+01  -6.220533e+00
1.278754e+00  -3.589749e+00  -7.276522e+00  -1.040946e+01  -1.575539e+01  -6.924499e+00
1.397940e+00  -3.839616e+00  -7.776207e+00  -1.053367e+01  -1.575539e+01  -7.424114e+00
1.491362e+00  -4.033432e+00  -8.163815e+00  -1.055835e+01  -1.575539e+01  -7.811690e+00
1.568202e+00  -4.191792e+00  -8.480522e+00  -1.059994e+01  -1.575539e+01  -8.128380e+00
1.633468e+00  -4.325684e+00  -8.748299e+00  -1.035684e+01  -1.575539e+01  -8.396146e+00
1.690196e+00  -4.441667e+00  -8.980260e+00  -1.021105e+01  -1.575539e+01  -8.628100e+00
1.740363e+00  -4.543971e+00  -9.184865e+00  -8.781072e+00  -1.575539e+01  -8.832700e+00
1.785330e+00  -4.635486e+00  -9.367892e+00  -8.850755e+00  -1.575539e+01  -9.015724e+00
1.826075e+00  -4.718271e+00  -9.533461e+00  -8.926383e+00  -1.575539e+01  -9.181290e+00
1.863323e+00  -4.793848e+00  -9.684613e+00  -8.979056e+00  -1.575539e+01  -9.332440e+00
1.897627e+00  -4.863372e+00  -9.823661e+00  -9.024859e+00  -1.575539e+01  -9.471484e+00
1.929419e+00  -4.927741e+00  -9.952396e+00  -9.065788e+00  -1.575539e+01  -9.600223e+00
1.959041e+00  -4.987667e+00  -1.007225e+01  -9.103233e+00  -1.575539e+01  -9.720073e+00
1.986772e+00  -5.043724e+00  -1.018436e+01  -9.106116e+00  -1.575539e+01  -9.832186e+00
2.012837e+00  -5.096382e+00  -1.028968e+01  -9.138072e+00  -1.575539e+01  -9.937501e+00
2.037426e+00  -5.146029e+00  -1.038898e+01  -9.130190e+00  -1.575539e+01  -1.003679e+01
2.060698e+00  -5.192992e+00  -1.048289e+01  -9.159612e+00  -1.575539e+01  -1.013072e+01
2.082785e+00  -5.237544e+00  -1.057200e+01  -9.144286e+00  -1.575539e+01  -1.021982e+01
2.103804e+00  -5.279923e+00  -1.065675e+01  -9.172375e+00  -1.575539e+01  -1.030458e+01
2.123852e+00  -5.320330e+00  -1.073757e+01  -9.151060e+00  -1.575539e+01  -1.038539e+01
2.143015e+00  -5.358940e+00  -1.081479e+01  -9.178250e+00  -1.575539e+01  -1.046261e+01
2.161368e+00  -5.395907e+00  -1.088871e+01  -9.151396e+00  -1.575539e+01  -1.053654e+01
2.178977e+00  -5.431364e+00  -1.095964e+01  -9.177816e+00  -1.575539e+01  -1.060746e+01
2.195900e+00  -5.465431e+00  -1.102780e+01  -9.145315e+00  -1.575539e+01  -1.067559e+01
2.212188e+00  -5.498212e+00  -1.109333e+01  -9.170988e+00  -1.575539e+01  -1.074115e+01
2.227887e+00  -5.529800e+00  -1.115657e+01  -9.196070e+00  -1.575539e+01  -1.080430e+01
2.243038e+00  -5.560280e+00  -1.121743e+01  -9.157300e+00  -1.575539e+01  -1.086529e+01
2.257679e+00  -5.589726e+00  -1.127639e+01  -9.181631e+00  -1.575539e+01  -1.092417e+01
2.271842e+00  -5.618207e+00  -1.133336e+01  -9.135999e+00  -1.575539e+01  -1.098113e+01
2.285557e+00  -5.645784e+00  -1.138850e+01  -9.159578e+00  -1.575539e+01  -1.103632e+01
2.298853e+00  -5.672512e+00  -1.144192e+01  -9.182604e+00  -1.575539e+01  -1.108978e+01
2.311754e+00  -5.698442e+00  -1.149384e+01  -9.205097e+00  -1.575539e+01  -1.114156e+01
2.324282e+00  -5.723620e+00  -1.154406e+01  -9.151177e+00  -1.575539e+01  -1.119191e+01
2.336460e+00  -5.748089e+00  -1.159303e+01  -9.172959e+00  -1.575539e+01  -1.124090e+01
2.348305e+00  -5.771887e+00  -1.164068e+01  -9.194251e+00  -1.575539e+01  -1.128857e+01
2.359835e+00  -5.795051e+00  -1.168706e+01  -9.130829e+00  -1.575539e+01  -1.133489e+01
2.371068e+00  -5.817613e+00  -1.173238e+01  -9.151444e+00  -1.575539e+01  -1.138006e+01
