# N_parameter    Ground_State_Energy
2    2.0510659612e-01
3    6.1083206047e-02
4    5.8913804540e-02
5    2.6833394720e-02
6    2.6819235394e-02
7    1.5954183593e-02
8    1.5819949380e-02
9    1.1165253348e-02
10    1.0874938744e-02
11    8.5270542822e-03
12    8.1858383095e-03
13    6.8472989162e-03
14    6.5154532184e-03
15    5.6770158493e-03
16    5.3785415408e-03
17    4.8135714653e-03
18    4.5543189861e-03
19    4.1513169964e-03
20    3.9294714099e-03
21    3.6288757272e-03
22    3.4399599167e-03
23    3.2076899896e-03
24    3.0467404018e-03
25    2.8621317789e-03
26    2.7245522878e-03
27    2.5744423980e-03
28    2.4562727226e-03
29    2.3319168839e-03
30    2.2298567044e-03
31    2.1252315461e-03
32    2.0365733680e-03
33    1.9473988253e-03
34    1.8699358431e-03
35    1.7930876993e-03
36    1.7250235822e-03
37    1.6581675083e-03
38    1.5980375911e-03
39    1.5393936608e-03
40    1.4859995781e-03
41    1.4341862887e-03
42    1.3865431478e-03
43    1.3404713900e-03
44    1.2977656349e-03
45    1.2565649180e-03
