numerical = 8.011745321619297838e-03   exact = 8.011745321619325594e-03
numerical = 1.586591671213745738e-02   exact = 1.586591671213742616e-02
numerical = 2.371910922632779889e-02   exact = 2.371910922632783358e-02
numerical = 3.157083834732432592e-02   exact = 3.157083834732406918e-02
numerical = 3.942061964854612355e-02   exact = 3.942061964854633865e-02
numerical = 4.726796882358812180e-02   exact = 4.726796882358911406e-02
numerical = 5.511240171610105876e-02   exact = 5.511240171610127386e-02
numerical = 6.295343434965638973e-02   exact = 6.295343434965698648e-02
numerical = 7.079058295761532504e-02   exact = 7.079058295761554709e-02
numerical = 7.862336401296936284e-02   exact = 7.862336401296814159e-02
numerical = 8.645129425817102420e-02   exact = 8.645129425817012214e-02
numerical = 9.427389073495599792e-02   exact = 9.427389073495619221e-02
numerical = 1.020906708141371966e-01   exact = 1.020906708141375852e-01
numerical = 1.099011522253806883e-01   exact = 1.099011522253785789e-01
numerical = 1.177048530869507920e-01   exact = 1.177048530869512638e-01
numerical = 1.255012919354662748e-01   exact = 1.255012919354658307e-01
numerical = 1.332899877555768775e-01   exact = 1.332899877555754897e-01
numerical = 1.410704600096526762e-01   exact = 1.410704600096536199e-01
numerical = 1.488422286674430106e-01   exact = 1.488422286674411787e-01
numerical = 1.566048142356638861e-01   exact = 1.566048142356633588e-01
numerical = 1.643577377876117851e-01   exact = 1.643577377876124790e-01
numerical = 1.721005209926957935e-01   exact = 1.721005209926964319e-01
numerical = 1.798326861459468573e-01   exact = 1.798326861459501325e-01
numerical = 1.875537561975082756e-01   exact = 1.875537561975081369e-01
numerical = 1.952632547820383757e-01   exact = 1.952632547820375153e-01
numerical = 2.029607062481288693e-01   exact = 2.029607062481278701e-01
numerical = 2.106456356876395264e-01   exact = 2.106456356876372782e-01
numerical = 2.183175689649916318e-01   exact = 2.183175689649929363e-01
numerical = 2.259760327464425678e-01   exact = 2.259760327464437613e-01
numerical = 2.336205545292645847e-01   exact = 2.336205545292633634e-01
numerical = 2.412506626709048363e-01   exact = 2.412506626709021995e-01
numerical = 2.488658864180880725e-01   exact = 2.488658864180861297e-01
numerical = 2.564657559358635153e-01   exact = 2.564657559358607952e-01
numerical = 2.640498023365773217e-01   exact = 2.640498023365784874e-01
numerical = 2.716175577088323356e-01   exact = 2.716175577088274506e-01
numerical = 2.791685551463039539e-01   exact = 2.791685551462999570e-01
numerical = 2.867023287765958495e-01   exact = 2.867023287765995132e-01
numerical = 2.942184137899865326e-01   exact = 2.942184137899834795e-01
numerical = 3.017163464680410745e-01   exact = 3.017163464680401863e-01
numerical = 3.091956642122971055e-01   exact = 3.091956642122991039e-01
numerical = 3.166559055727783401e-01   exact = 3.166559055727714567e-01
numerical = 3.240966102764182288e-01   exact = 3.240966102764205603e-01
numerical = 3.315173192555579962e-01   exact = 3.315173192555588288e-01
numerical = 3.389175746761752817e-01   exact = 3.389175746761708963e-01
numerical = 3.462969199661624642e-01   exact = 3.462969199661607989e-01
numerical = 3.536548998435195545e-01   exact = 3.536548998435204427e-01
numerical = 3.609910603444151378e-01   exact = 3.609910603444196342e-01
numerical = 3.683049488512090686e-01   exact = 3.683049488512138425e-01
numerical = 3.755961141203719711e-01   exact = 3.755961141203693066e-01
numerical = 3.828641063103007669e-01   exact = 3.828641063103034314e-01
numerical = 3.901084770091350351e-01   exact = 3.901084770091385878e-01
numerical = 3.973287792623603210e-01   exact = 3.973287792623674819e-01
numerical = 4.045245676004264879e-01   exact = 4.045245676004288748e-01
numerical = 4.116953980661922086e-01   exact = 4.116953980661919865e-01
numerical = 4.188408282423465856e-01   exact = 4.188408282423466966e-01
numerical = 4.259604172787004872e-01   exact = 4.259604172786995990e-01
numerical = 4.330537259193695254e-01   exact = 4.330537259193731336e-01
numerical = 4.401203165299065190e-01   exact = 4.401203165299058528e-01
