# m=1, k=39.4784, p=4
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  9.999999802611206e-03  9.999999013039591e-01  4.999999013039640e-01  9.869603621829656e-08
0.0200  1.999999368346143e-02  9.999984208640440e-01  4.999984208652908e-01  1.579134709239661e-06
0.0300  2.999995203379639e-02  9.999920056396083e-01  4.999920056715632e-01  7.994328436999943e-06
0.0400  3.999979787136620e-02  9.999747340042464e-01  4.999747343234317e-01  2.526567656866841e-05
0.0500  4.999938315608306e-02  9.999383161139893e-01  4.999383180164402e-01  6.168198356041955e-05
0.0600  5.999846511186455e-02  9.998720948351056e-01  4.998721030149713e-01  1.278969850301105e-04
0.0700  6.999668256222132e-02  9.997630476436767e-01  4.997630757168863e-01  2.369242831159065e-04
0.0800  7.999353229185707e-02  9.995957900264908e-01  4.995958717193421e-01  4.041282806614072e-04
0.0900  8.998834545242870e-02  9.993525810295993e-01  4.993527906052609e-01  6.472093947447225e-04
0.1000  9.998026403765804e-02  9.990133317166848e-01  4.990138184738355e-01  9.861815261729455e-04
0.1100  1.099682174611809e-01  9.985556174135650e-01  4.985566605340930e-01  1.443339465919107e-03
0.1200  1.199508992798424e-01  9.979546947268725e-01  4.979567863637026e-01  2.043213636314503e-03
0.1300  1.299267441155747e-01  9.971835244331321e-01  4.971874907004414e-01  2.812509299581996e-03
0.1400  1.398939048404725e-01  9.962128014377436e-01  4.962199728742186e-01  3.780027125812751e-03
0.1500  1.498502301021722e-01  9.950109931001145e-01  4.950234381950381e-01  4.976561805002900e-03
0.1600  1.597932422800469e-01  9.935443873094141e-01  4.935652247770195e-01  6.434775223033292e-03
0.1700  1.697201159769741e-01  9.917771517728238e-01  4.918109593893074e-01  8.189040610759410e-03
0.1800  1.796276571663837e-01  9.896714060421118e-01  4.897247459686853e-01  1.027525403139838e-02
0.1900  1.895122831298045e-01  9.871873078518714e-01  4.872693903919127e-01  1.273060960819033e-02
0.2000  1.993700033360167e-01  9.842831553705759e-01  4.844066649731286e-01  1.559333502699670e-02
0.2100  2.091964014289739e-01  9.809155069700993e-01  4.810976159072035e-01  1.890238409294742e-02
0.2200  2.189866185076266e-01  9.770393200967573e-01  4.773029165075669e-01  2.269708349261303e-02
0.2300  2.287353378963673e-01  9.726081107732297e-01  4.729832685709355e-01  2.701673142927722e-02
0.2400  2.384367716196979e-01  9.675741351718589e-01  4.680998535267853e-01  3.190014647346377e-02
0.2500  2.480846488085209e-01  9.618885945717548e-01  4.626148341836128e-01  3.738516581667622e-02
0.2600  2.576722062777578e-01  9.555018648409664e-01  4.564919068572822e-01  4.350809314305065e-02
0.2700  2.671921815253672e-01  9.483637513671666e-01  4.496969024536024e-01  5.030309754677779e-02
0.2800  2.766368084107698e-01  9.404237700927779e-01  4.421984336777570e-01  5.780156632267419e-02
0.2900  2.859978157756957e-01  9.316314549908955e-01  4.339685839642265e-01  6.603141603625889e-02
0.3000  2.952664292720119e-01  9.219366919453577e-01  4.249836319775747e-01  7.501636802296784e-02
0.3100  3.044333766586322e-01  9.112900785716419e-01  4.152248036515546e-01  8.477519634904777e-02
0.3200  3.134888968226271e-01  8.996433090361301e-01  4.046790417467390e-01  9.532095825392514e-02
0.3300  3.224227527676198e-01  8.869495824025735e-01  3.933397808620497e-01  1.066602191386774e-01
0.3400  3.312242487950133e-01  8.731640324610354e-01  3.812077137918080e-01  1.187922862089830e-01
0.3500  3.398822520801156e-01  8.582441763830873e-01  3.682915331477419e-01  1.317084668531127e-01
0.3600  3.483852188154833e-01  8.421503789066493e-01  3.546086303463065e-01  1.453913696546105e-01
