# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  1.004996648699872e-02  1.009986575012447e+00  5.100364408526866e-01  1.335771959825357e-05
0.0200  2.019946062507399e-02  1.019891808318474e+00  5.200896503375637e-01  1.084570532599743e-04
0.0300  3.044725339208654e-02  1.029632184962777e+00  5.300712181556109e-01  3.714350190061606e-04
0.0400  4.079126885961717e-02  1.039121845984685e+00  5.398871054013094e-01  8.931823372460549e-04
0.0500  5.122856103373835e-02  1.048272650714530e+00  5.494377751180336e-01  1.769191944477106e-03
0.0600  6.175529150609527e-02  1.056994276877128e+00  5.586184506755018e-01  3.099281402316394e-03
0.0700  7.236670830334811e-02  1.065194360480970e+00  5.673195128002315e-01  4.987178788859269e-03
0.0800  8.305712634219722e-02  1.072778677339312e+00  5.754270452769418e-01  7.539962487535495e-03
0.0900  9.381990991477852e-02  1.079651367880553e+00  5.828235380831751e-01  1.086734655664319e-02
0.1000  1.046474576445985e-01  1.085715206656506e+00  5.893887549825899e-01  1.508080510849856e-02
0.1100  1.155311903657579e-01  1.090871917645259e+00  5.950007703535229e-01  2.029253138077340e-02
0.1200  1.264615423873502e-01  1.095022536068173e+00  5.995371772485868e-01  2.661422996349457e-02
0.1300  1.374279566099516e-01  1.098067816996732e+00  6.028764653619839e-01  3.415574395889513e-02
0.1400  1.484188839613810e-01  1.099908690514566e+00  6.048995637347335e-01  4.302352268636999e-02
0.1500  1.594217876137365e-01  1.100446762624222e+00  6.054915386850652e-01  5.331893986966749e-02
0.1600  1.704231524324692e-01  1.099584860450193e+00  6.045434326656357e-01  6.513647700375486e-02
0.1700  1.814085000903385e-01  1.097227619594123e+00  6.019542246000926e-01  7.856179171497332e-02
0.1800  1.923624102539591e-01  1.093282110751608e+00  5.976328868447456e-01  9.366969629383087e-02
0.1900  2.032685482178333e-01  1.087658501911560e+00  5.915005083902496e-01  1.105220770612780e-01
0.2000  2.141096993198913e-01  1.080270751639466e+00  5.834924484238487e-01  1.291657906658442e-01
0.2100  2.248678104234014e-01  1.071037328108368e+00  5.735604791007562e-01  1.496305786147532e-01
0.2200  2.355240386925406e-01  1.059881947701086e+00  5.616748715313237e-01  1.719270461095792e-01
0.2300  2.460588078230046e-01  1.046734326181435e+00  5.478263748032514e-01  1.960447553621466e-01
0.2400  2.564518718150148e-01  1.031530934639903e+00  5.320280345595357e-01  2.219504867754691e-01
0.2500  2.666823862943905e-01  1.014215751680887e+00  5.143167954788133e-01  2.495867234527394e-01
0.2600  2.767289872986375e-01  9.947410026557429e-01  4.947548311822764e-01  2.788704152187836e-01
0.2700  2.865698773501307e-01  9.730678761805733e-01  4.734305458272858e-01  3.096920774973419e-01
