# m=10, k=39.478, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e+00  0.000000000000000e+00
0.0100  9.999342046319517e-03  9.998026164937167e-01  4.998026359738410e+00  1.973640261591093e-03
0.0200  1.999473668225177e-02  9.992105438953636e-01  4.992108555158342e+00  7.891444841658631e-03
0.0300  2.998223805571692e-02  9.982240159356716e-01  4.982255929953699e+00  1.774407004629905e-02
0.0400  3.995790343063475e-02  9.968434220633362e-01  4.968484040554713e+00  3.151595944528337e-02
0.0500  4.991779474338682e-02  9.950693072912762e-01  4.950814631565701e+00  4.918536843429474e-02
0.0600  5.985798015743413e-02  9.929023719814799e-01  4.929275601432245e+00  7.072439856774983e-02
0.0700  6.977453561547640e-02  9.903434715685263e-01  4.903900958392002e+00  9.609904160799494e-02
0.0800  7.966354638854051e-02  9.873936162218864e-01  4.874730766778669e+00  1.252692332213279e-01
0.0900  8.952110862138636e-02  9.840539704471429e-01  4.841811083763932e+00  1.581889162360638e-01
0.1000  9.934333087362007e-02  9.803258526262818e-01  4.805193886637232e+00  1.948061133627650e-01
0.1100  1.091263356559064e-01  9.762107344972373e-01  4.764936990738177e+00  2.350630092618189e-01
0.1200  1.188662609606734e-01  9.717102405728997e-01  4.721103958171213e+00  2.788960418287832e-01
0.1300  1.285592617867061e-01  9.668261474998106e-01  4.673763997446628e+00  3.262360025533684e-01
0.1400  1.382015116570254e-01  9.615603833568014e-01  4.622991854206393e+00  3.770081457935997e-01
0.1500  1.477892041294557e-01  9.559150268938521e-01  4.568867693207370e+00  4.311323067926247e-01
0.1600  1.573185542992822e-01  9.498923067114683e-01  4.511476971748171e+00  4.885230282518248e-01
0.1700  1.667858002934065e-01  9.434946003809038e-01  4.450910304739607e+00  5.490896952603890e-01
0.1800  1.761872047554105e-01  9.367244335055740e-01  4.387263321631693e+00  6.127366783683031e-01
0.1900  1.855190563209408e-01  9.295844787240309e-01  4.320636515423142e+00  6.793634845768544e-01
0.2000  1.947776710828329e-01  9.220775546548936e-01  4.251135083991741e+00  7.488649160082552e-01
0.2100  2.039593940453971e-01  9.142066247841503e-01  4.178868763996141e+00  8.211312360038567e-01
