# omega0=1, alpha=0.1
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
0  5.000000000000000e-02  0.000000000000000e+00
9.119282013323059e-02 4.979295690615784e-02 -4.530744800037429e-03
1.823856402664613e-01 4.917604636677836e-02 -8.982925511030429e-03
2.735784603996920e-01 4.815808631924258e-02 -1.332046743026817e-02
3.647712805329227e-01 4.675112866518189e-02 -1.750856626911804e-02
4.559641006661534e-01 4.497033080007797e-02 -2.151396259270038e-02
5.471569207993838e-01 4.283380277210427e-02 -2.530520153852577e-02
6.383497409326140e-01 4.036243150149115e-02 -2.885287588286170e-02
7.295425610658441e-01 3.757968366301441e-02 -3.212985063070577e-02
8.207353811990743e-01 3.451138899519350e-02 -3.511146742516572e-02
9.119282013323045e-01 3.118550594915381e-02 -3.777572720732437e-02
1.003121021465535e+00 2.763187172635554e-02 -4.010344971042766e-02
1.094313841598765e+00 2.388193887585506e-02 -4.207840854393234e-02
1.185506661731995e+00 1.996850072667874e-02 -4.368744081417379e-02
1.276699481865225e+00 1.592540801748929e-02 -4.492053043873209e-02
1.367892301998455e+00 1.178727915232598e-02 -4.577086453948302e-02
1.459085122131685e+00 7.589206556310401e-03 -4.623486254224966e-02
1.550277942264916e+00 3.366461627612355e-03 -4.631217786538142e-02
1.641470762398146e+00 -8.457992191880139e-04 -4.600567234113326e-02
1.732663582531376e+00 -5.012824948354901e-03 -4.532136377746244e-02
1.823856402664606e+00 -9.100554315982619e-03 -4.426834732854023e-02
1.915049222797836e+00 -1.307589195235857e-02 -4.285869159458355e-02
2.006242042931067e+00 -1.690697386031369e-02 -4.110731061047438e-02
2.097434863064297e+00 -2.056342019212842e-02 -3.903181310348476e-02
2.188627683197527e+00 -2.401657330268930e-02 -3.665233059941688e-02
2.279820503330757e+00 -2.723971922875262e-02 -3.399132613065627e-02
2.371013323463987e+00 -3.020829091100907e-02 -3.107338544708105e-02
2.462206143597217e+00 -3.290005165466927e-02 -2.792499275057557e-02
2.553398963730448e+00 -3.529525751298220e-02 -2.457429306618087e-02
2.644591783863678e+00 -3.737679747398713e-02 -2.105084342871030e-02
2.735784603996908e+00 -3.913031053154707e-02 -1.738535510476902e-02
2.826977424130138e+00 -4.054427892517078e-02 -1.360942908891338e-02
2.918170244263368e+00 -4.161009703738916e-02 -9.755287111900782e-03
3.009363064396598e+00 -4.232211564085475e-02 -5.855500381466243e-03
3.100555884529828e+00 -4.267766138848172e-02 -1.942718244583220e-03
3.191748704663059e+00 -4.267703163768032e-02 1.950601082805598e-03
3.282941524796289e+00 -4.232346489311333e-02 5.792455625039384e-03
3.374134344929519e+00 -4.162308734061886e-02 9.551558561863613e-03
3.465327165062749e+00 -4.058483612731994e-02 1.319758898391310e-02
3.556519985195979e+00 -3.922036021883694e-02 1.670143259756159e-02
3.647712805329209e+00 -3.754389983329244e-02 2.003541056994164e-02
3.738905625462440e+00 -3.557214561275047e-02 2.317349479482239e-02
3.830098445595670e+00 -3.332407884507716e-02 2.609150795915199e-02
3.921291265728900e+00 -3.082079419204395e-02 2.876730689973932e-02
4.012484085862130e+00 -2.808530651179810e-02 3.118094786106490e-02
4.103676905995361e+00 -2.514234348446347e-02 3.331483239967752e-02
4.194869726128591e+00 -2.201812585738969e-02 3.515383282879283e-02
4.286062546261821e+00 -1.874013722017758e-02 3.668539625880185e-02
4.377255366395051e+00 -1.533688529781120e-02 3.789962646505182e-02
4.468448186528281e+00 -1.183765681183096e-02 3.878934300244465e-02
