# omega0=1, alpha=0.2
# theta0=-0.8, theta_dot0=0.1234
# t_start=0, t_end=250, h=0.00911928
#   t          theta(t)                 thetadot(t)       
100.093 -2.958274979381128e+00 3.715524325224836e-01
1.001844321983948e+02 -2.921767340481815e+00 4.295431778336781e-01
1.002756250185281e+02 -2.879851415710702e+00 4.902004073468100e-01
1.003668178386614e+02 -2.832274270020238e+00 5.537377418470316e-01
1.004580106587947e+02 -2.778763765810517e+00 6.203615715060391e-01
1.005492034789280e+02 -2.719029574199038e+00 6.902628511007675e-01
1.006403962990614e+02 -2.652765077658855e+00 7.636056460122319e-01
1.007315891191947e+02 -2.579650490957097e+00 8.405117523092634e-01
1.008227819393280e+02 -2.499357589426043e+00 9.210407178119550e-01
1.009139747594613e+02 -2.411556491333052e+00 1.005164691562703e+00
1.010051675795946e+02 -2.315924983105770e+00 1.092737784956881e+00
1.010963603997279e+02 -2.212160885013336e+00 1.183460112062305e+00
1.011875532198612e+02 -2.099997906110785e+00 1.276837469644310e+00
1.012787460399945e+02 -1.979225299362479e+00 1.372138787209355e+00
1.013699388601278e+02 -1.849711365050650e+00 1.468355043905564e+00
1.014611316802611e+02 -1.711430429442587e+00 1.564165228712544e+00
1.015523245003944e+02 -1.564492327794643e+00 1.657916856666009e+00
1.016435173205277e+02 -1.409172661357388e+00 1.747630057040159e+00
1.017347101406610e+02 -1.245941248321175e+00 1.831034588271986e+00
1.018259029607943e+02 -1.075485393974261e+00 1.905647444821520e+00
1.019170957809276e+02 -8.987240860706409e-01 1.968894284897859e+00
1.020082886010609e+02 -7.168092404113260e-01 2.018270591406079e+00
1.020994814211942e+02 -5.311109094042064e-01 2.051529190962768e+00
1.021906742413275e+02 -3.431850136129903e-01 2.066871645662819e+00
1.022818670614608e+02 -1.547245130746630e-01 2.063115107871061e+00
1.023730598815941e+02 3.250242419031657e-02 2.039806306670412e+00
1.024642527017274e+02 2.167213955052342e-01 1.997261661102037e+00
1.025554455218607e+02 3.962206739685194e-01 1.936525799826968e+00
1.026466383419940e+02 5.694128578461570e-01 1.859256349550065e+00
1.027378311621273e+02 7.348834163767377e-01 1.767556110390809e+00
1.028290239822606e+02 8.914226012551687e-01 1.663781015752117e+00
