# omega0=1, alpha=10
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
0  5.000000000000000e-02  0.000000000000000e+00
9.119282013323059e-02 4.984332820728606e-02 -2.985927455356350e-03
1.823856402664613e-01 4.950875735659777e-02 -4.169262149744259e-03
2.735784603996920e-01 4.910453752977563e-02 -4.621963148943552e-03
3.647712805329227e-01 4.867453738384891e-02 -4.778667209824818e-03
4.559641006661534e-01 4.823652153813083e-02 -4.815600936014329e-03
5.471569207993838e-01 4.779767061011136e-02 -4.804215370052164e-03
6.383497409326140e-01 4.736087400381399e-02 -4.773479025606549e-03
7.295425610658441e-01 4.692728139716027e-02 -4.735135365336161e-03
8.207353811990743e-01 4.649733727261846e-02 -4.693943758389648e-03
9.119282013323045e-01 4.607120037890073e-02 -4.651831804305204e-03
1.003121021465535e+00 4.564891380526846e-02 -4.609578944756396e-03
1.094313841598765e+00 4.523047393859132e-02 -4.567499105072976e-03
1.185506661731995e+00 4.481585842115070e-02 -4.525717479779020e-03
1.276699481865225e+00 4.440503748478587e-02 -4.484282758678857e-03
1.367892301998455e+00 4.399797854477884e-02 -4.443212630214479e-03
1.459085122131685e+00 4.359464806082755e-02 -4.402512231236990e-03
1.550277942264916e+00 4.319501228993849e-02 -4.362181627553165e-03
1.641470762398146e+00 4.279903759004756e-02 -4.322218846858220e-03
1.732663582531376e+00 4.240669054149158e-02 -4.282621108326470e-03
1.823856402664606e+00 4.201793799463902e-02 -4.243385321014257e-03
1.915049222797836e+00 4.163274708759437e-02 -4.204508285794163e-03
2.006242042931067e+00 4.125108525178244e-02 -4.165986777083098e-03
2.097434863064297e+00 4.087292021263163e-02 -4.127817575832222e-03
2.188627683197527e+00 4.049821998828369e-02 -4.089997482756381e-03
2.279820503330757e+00 4.012695288751646e-02 -4.052523323552397e-03
2.371013323463987e+00 3.975908750736089e-02 -4.015391950870185e-03
2.462206143597217e+00 3.939459273060705e-02 -3.978600244968268e-03
2.553398963730448e+00 3.903343772327848e-02 -3.942145113836920e-03
2.644591783863678e+00 3.867559193210634e-02 -3.906023493106460e-03
2.735784603996908e+00 3.832102508201667e-02 -3.870232345869465e-03
2.826977424130138e+00 3.796970717363538e-02 -3.834768662469107e-03
2.918170244263368e+00 3.762160848081347e-02 -3.799629460274774e-03
3.009363064396598e+00 3.727669954817286e-02 -3.764811783453557e-03
3.100555884529828e+00 3.693495118867299e-02 -3.730312702741085e-03
3.191748704663059e+00 3.659633448119846e-02 -3.696129315213091e-03
3.282941524796289e+00 3.626082076816730e-02 -3.662258744058308e-03
3.374134344929519e+00 3.592838165316004e-02 -3.628698138352900e-03
3.465327165062749e+00 3.559898899856913e-02 -3.595444672836529e-03
3.556519985195979e+00 3.527261492326874e-02 -3.562495547690077e-03
3.647712805329209e+00 3.494923180030480e-02 -3.529847988315049e-03
3.738905625462440e+00 3.462881225460510e-02 -3.497499245114650e-03
3.830098445595670e+00 3.431132916070916e-02 -3.465446593276529e-03
3.921291265728900e+00 3.399675564051792e-02 -3.433687332557185e-03
4.012484085862130e+00 3.368506506106305e-02 -3.402218787068041e-03
4.103676905995361e+00 3.337623103229563e-02 -3.371038305063167e-03
4.194869726128591e+00 3.307022740489408e-02 -3.340143258728646e-03
4.286062546261821e+00 3.276702826809135e-02 -3.309531043973579e-03
4.377255366395051e+00 3.246660794752098e-02 -3.279199080222735e-03
4.468448186528281e+00 3.216894100308203e-02 -3.249144810210800e-03
4.559641006661511e+00 3.187400222682271e-02 -3.219365699778272e-03
4.650833826794742e+00 3.158176664084255e-02 -3.189859237668947e-03
4.742026646927972e+00 3.129220949521292e-02 -3.160622935329012e-03
4.833219467061202e+00 3.100530626591589e-02 -3.131654326707734e-03
4.924412287194432e+00 3.072103265280109e-02 -3.102950968059737e-03
5.015605107327662e+00 3.043936457756062e-02 -3.074510437748853e-03
5.106797927460892e+00 3.016027818172169e-02 -3.046330336053547e-03
5.197990747594122e+00 2.988374982465700e-02 -3.018408284973902e-03
5.289183567727353e+00 2.960975608161263e-02 -2.990741928040161e-03
5.380376387860583e+00 2.933827374175330e-02 -2.963328930122811e-03
5.471569207993813e+00 2.906927980622490e-02 -2.936166977244207e-03
5.562762028127043e+00 2.880275148623413e-02 -2.909253776391719e-03
5.653954848260273e+00 2.853866620114509e-02 -2.882587055332409e-03
5.745147668393503e+00 2.827700157659273e-02 -2.856164562429208e-03
5.836340488526734e+00 2.801773544261295e-02 -2.829984066458608e-03
5.927533308659964e+00 2.776084583178932e-02 -2.804043356429830e-03
6.018726128793194e+00 2.750631097741619e-02 -2.778340241405497e-03
6.109918948926424e+00 2.725410931167803e-02 -2.752872550323768e-03
6.201111769059654e+00 2.700421946384503e-02 -2.727638131821945e-03
6.292304589192884e+00 2.675662025848469e-02 -2.702634854061540e-03
6.383497409326115e+00 2.651129071368919e-02 -2.677860604554783e-03
6.474690229459345e+00 2.626821003931867e-02 -2.653313289992580e-03
6.565883049592575e+00 2.602735763526004e-02 -2.628990836073893e-03
6.657075869725805e+00 2.578871308970130e-02 -2.604891187336549e-03
6.748268689859035e+00 2.555225617742123e-02 -2.581012306989454e-03
6.839461509992265e+00 2.531796685809435e-02 -2.557352176746217e-03
6.930654330125495e+00 2.508582527461090e-02 -2.533908796660162e-03
7.021847150258726e+00 2.485581175141195e-02 -2.510680184960735e-03
7.113039970391956e+00 2.462790679283915e-02 -2.487664377891273e-03
7.204232790525186e+00 2.440209108149946e-02 -2.464859429548147e-03
7.295425610658416e+00 2.417834547664428e-02 -2.442263411721265e-03
7.386618430791646e+00 2.395665101256319e-02 -2.419874413735918e-03
7.477811250924876e+00 2.373698889699201e-02 -2.397690542295966e-03
7.569004071058107e+00 2.351934050953506e-02 -2.375709921328354e-03
7.660196891191337e+00 2.330368740010163e-02 -2.353930691828948e-03
7.751389711324567e+00 2.309001128735636e-02 -2.332351011709682e-03
7.842582531457797e+00 2.287829405718354e-02 -2.310969055647006e-03
7.933775351591027e+00 2.266851776116519e-02 -2.289783014931629e-03
8.024968171724257e+00 2.246066461507274e-02 -2.268791097319543e-03
8.116160991857488e+00 2.225471699737225e-02 -2.247991526884321e-03
8.207353811990718e+00 2.205065744774309e-02 -2.227382543870684e-03
8.298546632123948e+00 2.184846866560984e-02 -2.206962404549315e-03
8.389739452257178e+00 2.164813350868742e-02 -2.186729381072930e-03
8.480932272390408e+00 2.144963499153928e-02 -2.166681761333584e-03
8.572125092523638e+00 2.125295628414855e-02 -2.146817848821194e-03
8.663317912656868e+00 2.105808071050201e-02 -2.127135962483301e-03
8.754510732790099e+00 2.086499174718685e-02 -2.107634436586023e-03
