# r      Exact       Approx       Abserr
0.9 0.081313932 0.07968745 0.001626482
0.90629921 0.075713355 0.076149169 0.00043581449
0.91259843 0.070179908 0.070063132 0.00011677618
0.91889764 0.064712969 0.064744259 3.1290046e-05
0.92519685 0.059311921 0.059303537 8.3841785e-06
0.93149606 0.053976153 0.053978399 2.2464983e-06
0.93779528 0.048705057 0.048704455 6.0198274e-07
0.94409449 0.043498031 0.043498192 1.6126572e-07
0.9503937 0.038354479 0.038354435 4.3245796e-08
0.95669291 0.033273808 0.03327382 1.1553148e-08
0.96299213 0.028255433 0.02825543 3.1298963e-09
0.96929134 0.02329877 0.023298771 8.0469646e-10
0.97559055 0.018403244 0.018403243 2.4932879e-10
0.98188976 0.01356828 0.01356828 3.335927e-11
0.98818898 0.0087933126 0.0087933126 4.2116777e-11
0.99448819 0.004077778 0.004077778 2.162731e-11
1.0007874 -0.00057888171 -0.00057888174 2.6864594e-11
1.0070866 -0.0051772201 -0.0051772201 2.5221347e-11
1.0133858 -0.0097177858 -0.0097177859 2.5405802e-11
1.019685 -0.014201123 -0.014201123 2.5091264e-11
1.0259843 -0.018627772 -0.018627772 2.4913908e-11
1.0322835 -0.022998267 -0.022998267 2.4729149e-11
1.0385827 -0.02731314 -0.02731314 2.4537521e-11
1.0448819 -0.031572916 -0.031572916 2.4327242e-11
1.0511811 -0.035778117 -0.035778117 2.4138233e-11
1.0574803 -0.039929261 -0.039929261 2.3968966e-11
1.0637795 -0.04402686 -0.04402686 2.3769972e-11
1.0700787 -0.048071424 -0.048071424 2.3576585e-11
1.076378 -0.052063457 -0.052063457 2.3410399e-11
1.0826772 -0.056003459 -0.056003459 2.3202773e-11
1.0889764 -0.059891927 -0.059891927 2.3016498e-11
1.0952756 -0.063729352 -0.063729352 2.2857938e-11
1.1015748 -0.067516221 -0.067516221 2.2669422e-11
1.107874 -0.071253019 -0.071253019 2.2478117e-11
1.1141732 -0.074940225 -0.074940225 2.231669e-11
1.1204724 -0.078578314 -0.078578314 2.2122595e-11
1.1267717 -0.082167758 -0.082167758 2.1970092e-11
1.1330709 -0.085709025 -0.085709025 2.1792748e-11
1.1393701 -0.089202577 -0.089202577 2.159542e-11
1.1456693 -0.092648875 -0.092648875 2.1452659e-11
1.1519685 -0.096048374 -0.096048374 2.1272484e-11
1.1582677 -0.099401527 -0.099401527 2.1102453e-11
1.1645669 -0.10270878 -0.10270878 2.0932783e-11
1.1708661 -0.10597058 -0.10597058 2.0776061e-11
1.1771654 -0.10918736 -0.10918736 2.0621102e-11
1.1834646 -0.11235957 -0.11235957 2.0442717e-11
1.1897638 -0.11548763 -0.11548763 2.0281693e-11
1.196063 -0.11857198 -0.11857198 2.0125818e-11
1.2023622 -0.12161304 -0.12161304 1.9953567e-11
1.2086614 -0.12461122 -0.12461122 1.9807822e-11
1.2149606 -0.12756697 -0.12756697 1.9657054e-11
1.2212598 -0.13048067 -0.13048067 1.9482693e-11
1.2275591 -0.13335276 -0.13335276 1.9345692e-11
1.2338583 -0.13618362 -0.13618362 1.9177188e-11
1.2401575 -0.13897368 -0.13897368 1.9032526e-11
1.2464567 -0.14172333 -0.14172333 1.8874902e-11
1.2527559 -0.14443297 -0.14443297 1.8724022e-11
1.2590551 -0.14710298 -0.14710298 1.8601704e-11
1.2653543 -0.14973377 -0.14973377 1.8430868e-11
1.2716535 -0.15232572 -0.15232572 1.8280905e-11
1.2779528 -0.15487922 -0.15487922 1.8143542e-11
1.284252 -0.15739464 -0.15739464 1.7987084e-11
1.2905512 -0.15987236 -0.15987236 1.7846363e-11
1.2968504 -0.16231276 -0.16231276 1.7726459e-11
1.3031496 -0.1647162 -0.1647162 1.7572332e-11
1.3094488 -0.16708306 -0.16708306 1.7427337e-11
1.315748 -0.1694137 -0.1694137 1.7305046e-11
1.3220472 -0.17170849 -0.17170849 1.7139123e-11
1.3283465 -0.17396777 -0.17396777 1.7003038e-11
1.3346457 -0.17619191 -0.17619191 1.6885687e-11
1.3409449 -0.17838125 -0.17838125 1.6753626e-11
1.3472441 -0.18053615 -0.18053615 1.6609852e-11
1.3535433 -0.18265696 -0.18265696 1.6481427e-11
1.3598425 -0.18474401 -0.18474401 1.6353779e-11
1.3661417 -0.18679765 -0.18679765 1.620043e-11
1.3724409 -0.18881821 -0.18881821 1.6080887e-11
1.3787402 -0.19080604 -0.19080604 1.5981494e-11
1.3850394 -0.19276145 -0.19276145 1.5825313e-11
1.3913386 -0.19468478 -0.19468478 1.5688895e-11
1.3976378 -0.19657635 -0.19657635 1.5595691e-11
1.403937 -0.19843649 -0.19843649 1.5443924e-11
1.4102362 -0.20026552 -0.20026552 1.532241e-11
1.4165354 -0.20206376 -0.20206376 1.5213886e-11
1.4228346 -0.20383151 -0.20383151 1.50783e-11
1.4291339 -0.2055691 -0.2055691 1.4968526e-11
1.4354331 -0.20727682 -0.20727682 1.4847512e-11
1.4417323 -0.208955 -0.208955 1.47099e-11
1.4480315 -0.21060392 -0.21060392 1.4605761e-11
1.4543307 -0.2122239 -0.2122239 1.4496515e-11
1.4606299 -0.21381522 -0.21381522 1.4374779e-11
1.4669291 -0.2153782 -0.2153782 1.4253265e-11
1.4732283 -0.21691311 -0.21691311 1.414327e-11
1.4795276 -0.21842026 -0.21842026 1.402542e-11
1.4858268 -0.21989992 -0.21989992 1.3912232e-11
1.492126 -0.22135239 -0.22135239 1.380529e-11
1.4984252 -0.22277794 -0.22277794 1.368089e-11
1.5047244 -0.22417687 -0.22417687 1.3573004e-11
1.5110236 -0.22554944 -0.22554944 1.347461e-11
1.5173228 -0.22689593 -0.22689593 1.3357204e-11
1.523622 -0.22821662 -0.22821662 1.3253648e-11
1.5299213 -0.22951178 -0.22951178 1.3151896e-11
1.5362205 -0.23078167 -0.23078167 1.3054141e-11
1.5425197 -0.23202656 -0.23202656 1.2922663e-11
1.5488189 -0.23324672 -0.23324672 1.281919e-11
1.5551181 -0.23444241 -0.23444241 1.2746137e-11
1.5614173 -0.23561388 -0.23561388 1.2617657e-11
1.5677165 -0.2367614 -0.2367614 1.2504275e-11
1.5740157 -0.23788521 -0.23788521 1.2428503e-11
1.580315 -0.23898558 -0.23898558 1.2326418e-11
1.5866142 -0.24006274 -0.24006274 1.2220946e-11
1.5929134 -0.24111696 -0.24111696 1.2120555e-11
1.5992126 -0.24214847 -0.24214847 1.2017859e-11
1.6055118 -0.24315751 -0.24315751 1.1911361e-11
1.611811 -0.24414434 -0.24414434 1.1829066e-11
1.6181102 -0.24510918 -0.24510918 1.1742357e-11
1.6244094 -0.24605228 -0.24605228 1.1630086e-11
1.6307087 -0.24697388 -0.24697388 1.1546514e-11
1.6370079 -0.24787419 -0.24787419 1.1431023e-11
1.6433071 -0.24875346 -0.24875346 1.1365797e-11
1.6496063 -0.24961191 -0.24961191 1.1260048e-11
1.6559055 -0.25044978 -0.25044978 1.1156964e-11
1.6622047 -0.25126728 -0.25126728 1.1091572e-11
1.6685039 -0.25206463 -0.25206463 1.0994983e-11
1.6748031 -0.25284207 -0.25284207 1.0894396e-11
1.6811024 -0.2535998 -0.2535998 1.0806245e-11
1.6874016 -0.25433804 -0.25433804 1.0733969e-11
1.6937008 -0.25505702 -0.25505702 1.062056e-11
1.7 -0.25575693 -0.25575693 1.054512e-11
1.7062992 -0.256438 -0.256438 1.0463297e-11
1.7125984 -0.25710043 -0.25710043 1.0362933e-11
1.7188976 -0.25774443 -0.25774443 1.0294043e-11
1.7251969 -0.25837021 -0.25837021 1.0200729e-11
1.7314961 -0.25897796 -0.25897796 1.0129286e-11
1.7377953 -0.25956789 -0.25956789 1.0050016e-11
1.7440945 -0.2601402 -0.2601402 9.9470987e-12
1.7503937 -0.26069509 -0.26069509 9.8783204e-12
1.7566929 -0.26123275 -0.26123275 9.7908903e-12
1.7629921 -0.26175338 -0.26175338 9.7108432e-12
1.7692913 -0.26225717 -0.26225717 9.6380681e-12
1.7755906 -0.26274431 -0.26274431 9.5586872e-12
1.7818898 -0.263215 -0.263215 9.4830255e-12
1.788189 -0.26366941 -0.26366941 9.400869e-12
1.7944882 -0.26410774 -0.26410774 9.318657e-12
1.8007874 -0.26453016 -0.26453016 9.2424401e-12
1.8070866 -0.26493687 -0.26493687 9.1574526e-12
1.8133858 -0.26532803 -0.26532803 9.0888963e-12
1.819685 -0.26570384 -0.26570384 9.0181196e-12
1.8259843 -0.26606447 -0.26606447 8.9442342e-12
1.8322835 -0.26641009 -0.26641009 8.873513e-12
1.8385827 -0.26674087 -0.26674087 8.7907459e-12
1.8448819 -0.267057 -0.267057 8.7204133e-12
1.8511811 -0.26735864 -0.26735864 8.6556873e-12
1.8574803 -0.26764597 -0.26764597 8.5902396e-12
1.8637795 -0.26791914 -0.26791914 8.5061957e-12
1.8700787 -0.26817833 -0.26817833 8.4208751e-12
1.876378 -0.26842369 -0.26842369 8.3767437e-12
1.8826772 -0.26865541 -0.26865541 8.2989171e-12
1.8889764 -0.26887362 -0.26887362 8.2330809e-12
1.8952756 -0.26907851 -0.26907851 8.1650242e-12
1.9015748 -0.26927022 -0.26927022 8.0911944e-12
1.907874 -0.26944891 -0.26944891 8.0271345e-12
1.9141732 -0.26961474 -0.26961474 7.9480311e-12
1.9204724 -0.26976786 -0.26976786 7.9080076e-12
1.9267717 -0.26990842 -0.26990842 7.8261286e-12
1.9330709 -0.27003659 -0.27003659 7.7693407e-12
1.9393701 -0.2701525 -0.2701525 7.7167717e-12
1.9456693 -0.27025631 -0.27025631 7.6158524e-12
1.9519685 -0.27034816 -0.27034816 7.5657813e-12
1.9582677 -0.27042821 -0.27042821 7.5286444e-12
1.9645669 -0.27049659 -0.27049659 7.4358297e-12
1.9708661 -0.27055344 -0.27055344 7.3698825e-12
1.9771654 -0.27059892 -0.27059892 7.3318018e-12
1.9834646 -0.27063315 -0.27063315 7.2655215e-12
1.9897638 -0.27065629 -0.27065629 7.1991857e-12
1.996063 -0.27066846 -0.27066846 7.1431194e-12
2.0023622 -0.27066981 -0.27066981 7.0828343e-12
2.0086614 -0.27066047 -0.27066047 7.0125017e-12
2.0149606 -0.27064058 -0.27064058 6.9542705e-12
2.0212598 -0.27061026 -0.27061026 6.9114714e-12
2.0275591 -0.27056965 -0.27056965 6.8476891e-12
2.0338583 -0.27051888 -0.27051888 6.7852945e-12
2.0401575 -0.27045808 -0.27045808 6.7419403e-12
2.0464567 -0.27038737 -0.27038737 6.6788242e-12
2.0527559 -0.27030689 -0.27030689 6.6007755e-12
2.0590551 -0.27021676 -0.27021676 6.5641936e-12
2.0653543 -0.2701171 -0.2701171 6.5160655e-12
2.0716535 -0.27000804 -0.27000804 6.4438455e-12
2.0779528 -0.2698897 -0.2698897 6.4157568e-12
2.084252 -0.26976219 -0.26976219 6.3514749e-12
2.0905512 -0.26962565 -0.26962565 6.2750916e-12
2.0968504 -0.26948018 -0.26948018 6.2416738e-12
2.1031496 -0.26932591 -0.26932591 6.1954886e-12
2.1094488 -0.26916295 -0.26916295 6.1358696e-12
2.115748 -0.26899142 -0.26899142 6.0825789e-12
2.1220472 -0.26881143 -0.26881143 6.025902e-12
2.1283465 -0.26862309 -0.26862309 5.9721672e-12
2.1346457 -0.26842652 -0.26842652 5.9304228e-12
2.1409449 -0.26822182 -0.26822182 5.8903993e-12
2.1472441 -0.26800912 -0.26800912 5.8266725e-12
2.1535433 -0.2677885 -0.2677885 5.7669425e-12
2.1598425 -0.26756009 -0.26756009 5.7394645e-12
2.1661417 -0.26732399 -0.26732399 5.6856742e-12
2.1724409 -0.2670803 -0.2670803 5.6314398e-12
2.1787402 -0.26682913 -0.26682913 5.5929705e-12
2.1850394 -0.26657059 -0.26657059 5.5286886e-12
