# E       Cubic      Linear      Polynomial      Exact
0 9.34 9.34 9.34 9.3417638
5 10.802483 11.052 56.901156 10.500801
10 12.327346 12.764 63.081869 11.876772
15 13.976966 14.476 50.238446 13.523094
20 15.813725 16.188 32.497149 15.508768
25 17.9 17.9 17.9 17.923007
30 20.356112 22.62 10.160989 20.880647
35 23.534144 27.34 10.07775 24.527397
40 27.84412 32.06 16.641228 29.042154
45 33.696064 36.78 27.883326 34.629454
50 41.5 41.5 41.5 41.486772
55 51.340749 49.9 55.2847 49.717954
60 62.002319 58.3 67.404561 59.152974
65 71.943515 66.7 76.549173 69.062416
70 79.62314 75.1 81.979257 77.903078
75 83.5 83.5 83.5 83.502123
80 82.509691 77.1 81.38131 84.051299
85 77.49498 70.7 76.244674 79.354238
90 69.775422 64.3 68.933798 70.980283
95 60.670576 57.9 60.38365 61.1337
100 51.5 51.5 51.5 51.521871
105 43.348485 45.5 43.059022 43.02306
110 36.361762 39.5 35.633966 35.893835
115 30.450797 33.5 29.553401 30.067051
120 25.526554 27.5 24.892956 25.354628
125 21.5 21.5 21.5 21.549616
130 18.274769 19.36 19.048105 18.466874
135 15.725172 17.22 17.11566 15.95406
140 13.718191 15.08 15.280424 13.890549
145 12.120806 12.94 13.219293 12.182451
150 10.8 10.8 10.8 10.757123
155 9.6435609 9.898 8.1489705 9.5583561
160 8.6225112 8.996 5.6769591 8.5424952
165 7.7286809 8.094 4.041616 7.6754452
170 6.9539005 7.192 4.0235582 6.9303978
175 6.29 6.29 6.29 6.2861218
180 5.7267477 5.85 11.017455 5.7256782
185 5.2456636 5.41 17.342493 5.235452
190 4.8262057 4.97 22.606986 4.804421
195 4.4478318 4.53 21.361757 4.4235995
200 4.09 4.09 4.09 4.0856124
