# uniform1 uniform2 gaussian1 gaussian2
  0.795107 0.619328 -0.021765 -0.034453
  0.275263 0.771417 -0.759720 -0.732683
  0.041449 0.297309 -0.533643 -1.807058
  0.686228 0.307259 -0.354182 0.482752
  0.457648 0.295791 -0.232964 0.706768
  0.918234 0.571424 -0.148742 -0.619574
  0.598692 0.285676 -0.770455 -1.069262
  0.522238 0.153336 0.570384 0.981530
  0.007278 0.994270 -1.638427 0.198393
  0.574368 0.901303 -0.418033 0.445485
  0.034279 0.302061 -0.814464 -0.135498
  0.550167 0.888791 -0.033927 -0.138201
  0.442647 0.854912 -0.315851 -0.252794
  0.955065 0.064726 0.874176 -0.944855
  0.458164 0.026004 1.751838 1.393794
  0.954593 0.232114 -0.178199 -1.408602
  0.737916 0.665700 -0.527812 -1.767770
  0.178790 0.594895 -1.196848 -2.023783
  0.169876 0.893170 -0.430660 -0.537038
  0.298672 0.497844 -0.960893 -0.961206
  0.556886 0.248199 0.039152 -1.781728
  0.115899 0.946014 0.573417 0.013009
  0.550157 0.908865 -0.373495 0.748391
  0.353628 0.347066 -1.680811 2.156875
  0.982396 0.606419 0.016504 1.111573
  0.992137 0.050850 -0.297314 0.105639
  0.667619 0.758553 -0.753665 0.160537
  0.879487 0.335159 -0.309792 0.844018
  0.604000 0.050365 -0.961627 0.475758
  0.483983 0.392428 1.299051 -0.774021
  0.753840 0.195396 1.808310 1.417856
  0.377187 0.800115 -1.149869 0.550892
  0.175833 0.182848 0.979107 0.712235
  0.794859 0.194181 0.539838 -0.208556
  0.062887 0.479095 0.257867 1.125012
  0.546318 0.805582 -0.800035 -0.803034
  0.351641 0.535586 -0.088275 -0.828339
  0.646770 0.531509 0.864051 -0.733367
  0.687658 0.643055 -0.325669 0.883023
  0.984902 0.230462 -0.192204 2.402318
  0.926554 0.470578 0.035572 0.452725
  0.557557 0.655304 0.025686 0.139934
  0.760818 0.969770 0.329098 0.066568
  0.245827 0.937887 -0.232843 -0.271440
  0.694731 0.661055 1.539009 -0.626665
  0.003308 0.208081 0.417469 -0.507392
  0.866499 0.075315 0.674395 -0.503430
  0.836180 0.332316 0.092181 0.372202
  0.763014 0.222977 1.414783 0.824429
  0.030150 0.692422 -1.807000 -1.648048
  0.760618 0.856306 1.174086 0.509784
  0.136390 0.610697 1.002137 0.934503
  0.093673 0.237419 -0.170382 0.609620
  0.891585 0.816454 -1.058887 -0.895422
  0.878695 0.851048 1.846231 -0.544051
  0.008593 0.809066 -0.684863 0.153209
  0.155989 0.741512 0.119056 -1.008428
  0.622975 0.623226 -0.888279 -0.358690
  0.338787 0.583220 0.003288 -0.873604
  0.584766 0.368019 -0.002819 -0.378663
  0.245050 0.404691 0.563717 -2.493990
  0.691580 0.255539 -0.984075 0.194906
  0.466129 0.571976 0.592710 0.110374
  0.969542 0.121642 -0.266512 -1.778142
  0.673750 0.390588 0.024687 1.282012
  0.835473 0.163655 -0.488610 -1.050105
  0.379236 0.158643 0.099384 0.033904
  0.368801 0.898246 -0.560955 -0.798138
  0.743407 0.864127 -0.564518 -0.058198
  0.352418 0.792167 1.019468 -0.615428
  0.587007 0.956103 0.971750 -0.401757
  0.616559 0.175834 0.043515 0.383881
  0.050479 0.528391 0.647354 -0.176459
  0.199295 0.416275 -1.285338 1.290779
  0.684377 0.419776 -0.852732 0.216531
  0.405595 0.157847 -1.298358 0.180380
  0.334356 0.679913 -0.746960 -0.074500
  0.611874 0.413718 1.575768 -0.279769
  0.018460 0.757523 -0.113397 -0.004002
  0.732922 0.334651 -0.128072 -2.238648
  0.018681 0.782639 1.274706 -0.773295
  0.390990 0.774434 1.370668 -0.309725
  0.868493 0.559320 -1.915013 -0.451937
  0.788920 0.957793 -0.804273 -0.771131
  0.668061 0.613082 2.038287 -0.257150
  0.716368 0.866448 0.253279 -1.086421
  0.302974 0.023718 -0.348587 -1.592521
  0.784897 0.466778 2.369368 -0.454208
  0.344773 0.579183 -0.958128 2.919901
  0.854343 0.957167 -0.278129 -0.643894
  0.840912 0.716419 1.909647 -1.238227
  0.435387 0.819856 0.073723 -1.176398
  0.780576 0.078220 -1.283367 1.160768
  0.216305 0.587158 -0.914216 0.587371
  0.968980 0.205194 0.630549 1.345104
  0.481331 0.834304 -0.368014 -1.030852
  0.063930 0.378235 1.186719 0.308895
  0.445989 0.995859 1.075216 0.031052
  0.217196 0.081037 -1.480978 -1.293872
  0.210395 0.670501 -0.438010 -0.792916
  0.557415 0.257750 1.166816 -0.239244
  0.229088 0.109923 0.718172 0.462959
  0.567696 0.120790 0.841322 -2.352601
  0.796352 0.237921 -0.360793 0.931536
  0.993182 0.519199 0.410606 -1.002459
  0.215015 0.097876 0.722250 0.642138
  0.357131 0.176009 0.958621 -0.707248
  0.062650 0.314511 0.721568 0.821068
  0.583461 0.680962 1.721377 -0.831481
  0.180743 0.766199 -0.612854 -0.426297
  0.318828 0.824339 1.092918 2.160853
  0.201731 0.296086 1.085354 -0.893219
  0.154064 0.356145 0.127197 0.588162
  0.985214 0.612007 2.045108 -0.472520
  0.959582 0.677689 0.806678 0.506704
  0.178062 0.829374 0.851579 0.020046
  0.450473 0.790415 -0.399119 0.714081
  0.584604 0.462822 0.336648 0.340620
  0.851585 0.676613 -0.095630 0.240486
  0.663099 0.486672 0.682125 0.072622
  0.161351 0.219072 -2.677107 0.081462
  0.169741 0.188144 1.152516 0.394534
  0.182956 0.102008 -0.783012 -0.761191
  0.158165 0.906325 -0.379927 -0.532599
  0.383496 0.817100 -0.580809 -0.275864
  0.304331 0.781416 -1.168385 -0.897572
  0.185393 0.058382 -0.232193 0.093141
  0.174471 0.266543 -1.617371 -0.061381
  0.001573 0.865502 0.935506 -0.990278
  0.836858 0.968622 0.891618 0.770415
  0.672485 0.759183 0.193298 1.644325
  0.008638 0.342780 1.329688 -0.693685
  0.251327 0.421643 -0.112965 0.505315
