# N_steps     R_avg     R_rms
10 3.2934 3.69255
20 4.62731 5.18026
30 5.55887 6.30358
40 6.5504 7.35586
50 7.30792 8.29064
60 7.80145 8.74284
70 8.48197 9.55954
80 9.13884 10.2606
90 9.84883 11.1356
100 10.2353 11.6006
110 10.882 12.3324
120 11.2146 12.6627
130 11.8793 13.4336
140 12.4771 14.0102
150 12.418 13.9409
160 12.9575 14.6867
170 13.4169 15.2896
180 13.3145 15.0151
190 14.1896 16.1112
200 14.542 16.4482
210 14.826 16.7321
220 15.019 16.9343
230 15.3836 17.4078
240 16.0589 18.0362
250 16.3441 18.4084
260 15.9559 18.0867
270 16.7052 18.7559
280 17.0465 19.1016
290 17.4881 19.7695
300 17.706 19.9084
310 17.7837 19.9243
320 18.5133 20.7086
330 18.2374 20.5308
340 18.743 21.1888
350 19.4789 21.9798
360 19.5248 22.1022
370 19.6503 22.1845
380 20.5681 23.0768
390 20.8139 23.4436
400 19.9371 22.5806
410 20.6457 23.167
420 21.5325 24.1439
430 21.4114 24.2932
440 21.2425 24.0119
450 22.0494 24.7659
460 22.5862 25.4557
470 22.5267 25.3167
480 22.6365 25.6547
490 22.7906 25.5394
500 23.0742 25.9018
510 23.2486 26.2471
520 24.1135 27.2145
530 23.4951 26.4506
540 23.6601 26.7717
550 24.0901 27.0785
560 24.328 27.5366
570 24.4581 27.6394
580 24.8136 27.8035
590 25.552 28.8238
600 25.3448 28.4742
610 24.7647 27.6957
620 25.3562 28.4206
630 25.7241 29.1058
640 25.4926 28.7387
650 26.1704 29.6253
660 25.8811 29.1544
670 26.2865 29.5237
680 26.9497 30.384
690 26.842 30.0714
700 27.2211 30.3812
710 27.0569 30.419
720 27.662 31.361
730 28.0501 31.4579
740 28.0463 31.7241
750 27.6933 31.0959
760 27.6048 31.1698
770 28.0399 31.9237
780 28.681 32.3904
790 29.4221 33.1857
800 28.1608 31.7528
810 29.396 32.9197
820 29.4251 33.2153
830 28.8975 32.4603
840 29.6782 33.4225
850 30.2205 34.1493
860 30.1341 34.1709
870 30.0101 33.8092
880 30.9053 34.7484
890 29.6365 33.5249
900 30.2664 34.3216
910 30.3621 34.2819
920 30.5907 34.6171
930 30.7271 34.7059
940 31.3896 35.5654
950 31.003 34.9859
960 31.2067 35.2616
970 31.1826 35.464
980 31.6556 36.1034
990 32.4588 36.5786
1000 32.1962 36.4326
