# Ising model in 2dimensions at kT = 0.5
#  time     energy  
      0     -280.000
      1     -384.000
      2     -508.000
      3     -556.000
      4     -582.000
      5     -586.000
      6     -600.000
      7     -608.000
      8     -616.000
      9     -618.000
     10     -624.000
     11     -632.000
     12     -642.000
     13     -640.000
     14     -650.000
     15     -652.000
     16     -652.000
     17     -654.000
     18     -652.000
     19     -656.000
     20     -660.000
     21     -660.000
     22     -654.000
     23     -656.000
     24     -654.000
     25     -658.000
     26     -662.000
     27     -666.000
     28     -666.000
     29     -664.000
     30     -664.000
     31     -666.000
     32     -668.000
     33     -668.000
     34     -668.000
     35     -664.000
     36     -664.000
     37     -666.000
     38     -666.000
     39     -664.000
     40     -660.000
     41     -666.000
     42     -670.000
     43     -678.000
     44     -678.000
     45     -678.000
     46     -680.000
     47     -684.000
     48     -686.000
     49     -692.000
     50     -692.000
     51     -692.000
     52     -692.000
     53     -692.000
     54     -688.000
     55     -690.000
     56     -690.000
     57     -690.000
     58     -690.000
     59     -690.000
     60     -690.000
     61     -692.000
     62     -692.000
     63     -692.000
     64     -692.000
     65     -692.000
     66     -690.000
     67     -694.000
     68     -690.000
     69     -690.000
     70     -692.000
     71     -694.000
     72     -696.000
     73     -698.000
     74     -698.000
     75     -698.000
     76     -696.000
     77     -698.000
     78     -694.000
     79     -694.000
     80     -696.000
     81     -696.000
     82     -696.000
     83     -696.000
     84     -698.000
     85     -698.000
     86     -698.000
     87     -700.000
     88     -700.000
     89     -700.000
     90     -700.000
     91     -698.000
     92     -696.000
     93     -698.000
     94     -698.000
     95     -698.000
     96     -700.000
     97     -700.000
     98     -704.000
     99     -702.000
    100     -706.000
    110     -712.000
    120     -706.000
    130     -714.000
    140     -718.000
    150     -720.000
    160     -722.000
    170     -720.000
    180     -722.000
    190     -720.000
    200     -722.000
    210     -720.000
    220     -718.000
    230     -720.000
    240     -720.000
    250     -722.000
    260     -722.000
    270     -722.000
    280     -722.000
    290     -722.000
    300     -720.000
    310     -720.000
    320     -720.000
    330     -720.000
    340     -722.000
    350     -718.000
    360     -720.000
    370     -720.000
    380     -720.000
    390     -722.000
    400     -722.000
    410     -718.000
    420     -714.000
    430     -718.000
    440     -720.000
    450     -720.000
    460     -722.000
    470     -720.000
    480     -722.000
    490     -720.000
    500     -722.000
    510     -722.000
    520     -722.000
    530     -722.000
    540     -718.000
    550     -722.000
    560     -722.000
    570     -718.000
    580     -720.000
    590     -722.000
    600     -720.000
    610     -716.000
    620     -720.000
    630     -722.000
    640     -722.000
    650     -720.000
    660     -722.000
    670     -722.000
    680     -720.000
    690     -720.000
    700     -720.000
    710     -722.000
    720     -720.000
    730     -720.000
    740     -722.000
    750     -720.000
    760     -722.000
    770     -718.000
    780     -722.000
    790     -720.000
    800     -720.000
    810     -722.000
    820     -722.000
    830     -720.000
    840     -722.000
    850     -720.000
    860     -720.000
    870     -720.000
    880     -722.000
    890     -720.000
    900     -720.000
    910     -722.000
    920     -720.000
    930     -722.000
    940     -720.000
    950     -722.000
    960     -722.000
    970     -722.000
    980     -720.000
    990     -722.000
