# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -322.000
      1     -410.000
      2     -470.000
      3     -514.000
      4     -510.000
      5     -550.000
      6     -554.000
      7     -570.000
      8     -580.000
      9     -580.000
     10     -582.000
     11     -584.000
     12     -588.000
     13     -590.000
     14     -606.000
     15     -600.000
     16     -618.000
     17     -620.000
     18     -616.000
     19     -616.000
     20     -614.000
     21     -598.000
     22     -614.000
     23     -616.000
     24     -624.000
     25     -630.000
     26     -620.000
     27     -618.000
     28     -622.000
     29     -624.000
     30     -622.000
     31     -622.000
     32     -626.000
     33     -626.000
     34     -618.000
     35     -622.000
     36     -618.000
     37     -624.000
     38     -626.000
     39     -626.000
     40     -628.000
     41     -618.000
     42     -622.000
     43     -616.000
     44     -620.000
     45     -624.000
     46     -616.000
     47     -632.000
     48     -624.000
     49     -618.000
     50     -622.000
     51     -616.000
     52     -606.000
     53     -614.000
     54     -610.000
     55     -624.000
     56     -622.000
     57     -608.000
     58     -616.000
     59     -608.000
     60     -608.000
     61     -612.000
     62     -614.000
     63     -620.000
     64     -628.000
     65     -638.000
     66     -622.000
     67     -624.000
     68     -626.000
     69     -628.000
     70     -634.000
     71     -624.000
     72     -632.000
     73     -644.000
     74     -650.000
     75     -650.000
     76     -658.000
     77     -662.000
     78     -664.000
     79     -668.000
     80     -666.000
     81     -680.000
     82     -674.000
     83     -670.000
     84     -676.000
     85     -662.000
     86     -664.000
     87     -676.000
     88     -678.000
     89     -668.000
     90     -660.000
     91     -666.000
     92     -674.000
     93     -684.000
     94     -690.000
     95     -692.000
     96     -694.000
     97     -686.000
     98     -684.000
     99     -694.000
    100     -698.000
    110     -704.000
    120     -708.000
    130     -716.000
    140     -706.000
    150     -696.000
    160     -716.000
    170     -702.000
    180     -704.000
    190     -712.000
    200     -696.000
    210     -714.000
    220     -702.000
    230     -716.000
    240     -704.000
    250     -698.000
    260     -702.000
    270     -712.000
    280     -710.000
    290     -708.000
    300     -710.000
    310     -712.000
    320     -714.000
    330     -706.000
    340     -692.000
    350     -714.000
    360     -712.000
    370     -702.000
    380     -710.000
    390     -710.000
    400     -710.000
    410     -708.000
    420     -706.000
    430     -714.000
    440     -712.000
    450     -714.000
    460     -708.000
    470     -704.000
    480     -718.000
    490     -704.000
    500     -704.000
    510     -716.000
    520     -710.000
    530     -716.000
    540     -712.000
    550     -700.000
    560     -712.000
    570     -712.000
    580     -716.000
    590     -718.000
    600     -702.000
    610     -712.000
    620     -716.000
    630     -712.000
    640     -716.000
    650     -710.000
    660     -712.000
    670     -708.000
    680     -710.000
    690     -704.000
    700     -708.000
    710     -712.000
    720     -712.000
    730     -706.000
    740     -712.000
    750     -718.000
    760     -716.000
    770     -716.000
    780     -708.000
    790     -700.000
    800     -710.000
    810     -718.000
    820     -712.000
    830     -714.000
    840     -710.000
    850     -712.000
    860     -710.000
    870     -712.000
    880     -694.000
    890     -716.000
    900     -702.000
    910     -702.000
    920     -688.000
    930     -702.000
    940     -704.000
    950     -714.000
    960     -714.000
    970     -716.000
    980     -712.000
    990     -708.000
