# l   C_l
0 1
1 -0.00303173
2 0.00394481
3 0.0178664
4 0.000603075
5 -0.0111778
6 0.00903604
7 -0.00668616
8 0.0175924
9 0.00584371
10 0.0030138
11 0.00985102
12 0.0156437
13 -0.00985459
14 0.00145325
15 -0.0212582
16 -0.00174125
17 0.00687158
18 0.0126393
19 -0.00399498
20 0.00300725
21 0.00194297
22 -0.000378901
23 0.0071087
24 0.0170797
25 0.00491087
26 -0.021346
27 -0.00537543
28 0.0128869
29 -0.0117284
30 -0.0146033
31 -0.00174666
32 0.00601629
33 0.00760452
34 0.00312981
35 0.00549339
36 -0.00969238
37 -2.27748e-06
38 -0.000467957
39 0.00672813
40 -0.00122148
41 0.0135699
42 -0.0102876
43 -0.00102985
44 -0.00139918
45 -0.000726423
46 -0.0116805
47 -0.00311025
48 -0.00942327
49 0.00546256
50 -0.00951465
51 0.0129531
52 0.0116234
53 -0.00171926
54 -0.0161309
55 0.00302218
56 -0.00231797
57 0.00970221
58 -0.00656059
59 0.0166149
60 0.0292533
61 -0.00496304
62 0.00384264
63 0.00693226
64 -0.00838029
65 -0.00860605
66 -0.0111593
67 -0.0121806
68 0.00111978
69 -0.00355056
70 -0.00549747
71 0.00818813
72 -0.00350174
73 0.00901692
74 -0.000633892
75 0.00517661
76 0.0165863
77 0.00261907
78 -0.0167182
79 0.00422393
80 0.00943748
81 0.00400022
82 -0.0146072
83 0.00918836
84 0.00838459
85 -0.00842315
86 -0.00613533
87 -0.0137003
88 0.000233413
89 -0.0171858
90 0.0130896
91 0.00421424
92 -0.0091356
93 0.024607
94 0.0340568
95 -0.0108372
96 0.00959864
97 -0.00559698
98 -0.0119498
99 -0.0191035
