#  a       energy       error   
0.1000000 11.9999429 0.0386183
0.2000000 4.9820869 0.0175643
0.3000000 2.8270497 0.0106357
0.4000000 1.8746437 0.0073087
0.5000000 1.3188365 0.0052029
0.6000000 1.0039088 0.0038518
0.7000000 0.8014421 0.0028707
0.8000000 0.6867262 0.0022077
0.9000000 0.6063881 0.0016612
1.0000000 0.5499511 0.0011809
1.1000000 0.5244609 0.0009034
1.2000000 0.5141300 0.0008059
1.3000000 0.5205629 0.0009143
1.4000000 0.5355851 0.0011598
1.5000000 0.5478160 0.0014657
1.6000000 0.5853777 0.0018125
1.7000000 0.6191911 0.0021775
1.8000000 0.6635577 0.0025583
1.9000000 0.7120458 0.0029587
2.0000000 0.7725312 0.0033505
2.1000000 0.8060029 0.0037973
2.2000000 0.8972473 0.0042132
2.3000000 0.9676442 0.0046482
2.4000000 1.0240784 0.0051411
2.5000000 1.1216818 0.0055914
2.6000000 1.1901093 0.0061381
2.7000000 1.2814190 0.0066476
2.8000000 1.3375352 0.0072152
2.9000000 1.4499403 0.0077558
