#  a       energy       error   
0.1000000 3.1432052 0.0568537
0.2000000 1.6496645 0.0279864
0.3000000 1.1341877 0.0180864
0.4000000 0.9474644 0.0135788
0.5000000 0.8077364 0.0101033
0.6000000 0.7230422 0.0074385
0.7000000 0.7200975 0.0068840
0.8000000 0.6899938 0.0055643
0.9000000 0.7000670 0.0051330
1.0000000 0.6901697 0.0045424
1.1000000 0.6877094 0.0043575
1.2000000 0.7042670 0.0045766
1.3000000 0.7332807 0.0048574
1.4000000 0.7503226 0.0051505
1.5000000 0.7748211 0.0055898
1.6000000 0.7945299 0.0060665
1.7000000 0.8344106 0.0065810
1.8000000 0.8555735 0.0070366
1.9000000 0.8692947 0.0075434
2.0000000 0.9443622 0.0080188
2.1000000 0.9607059 0.0085514
2.2000000 0.9371560 0.0091347
2.3000000 0.9976892 0.0096259
2.4000000 1.0381242 0.0100823
2.5000000 1.0581659 0.0105666
2.6000000 1.1458289 0.0111458
2.7000000 1.1212288 0.0116741
2.8000000 1.1518156 0.0121177
2.9000000 1.2690920 0.0126459
